feature,feature_importance
right_knee_angle__fft_coefficient__attr_"imag"__coeff_37,9.011023894555696e-05
right_ankle_angle__fft_coefficient__attr_"imag"__coeff_50,0.0007724726347963717
right_knee_angle__agg_linear_trend__attr_"rvalue"__chunk_len_50__f_agg_"max",9.594717286868427e-05
right_hip_angle__linear_trend__attr_"stderr",3.201435909517536e-05
left_ankle_angle__agg_linear_trend__attr_"stderr"__chunk_len_5__f_agg_"max",0.0001044225096690307
right_knee_angle__fft_coefficient__attr_"real"__coeff_90,0.0005811743143050453
right_hip_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.4,0.0011335582097229304
right_knee_angle__quantile__q_0.1,0.0005761320560601863
right_ankle_angle__fft_coefficient__attr_"real"__coeff_80,0.00034748462104386944
right_knee_angle__fft_coefficient__attr_"real"__coeff_71,0.0003825155415278654
right_knee_angle__fft_coefficient__attr_"imag"__coeff_55,0.0004996150393034346
right_hip_angle__agg_linear_trend__attr_"stderr"__chunk_len_5__f_agg_"mean",0.00013934404183378244
left_ankle_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.0,0.00037523007001260633
left_ankle_angle__mean_abs_change,0.0009460136477100269
right_knee_angle__fft_coefficient__attr_"imag"__coeff_32,0.00016151784652522946
left_knee_angle__agg_linear_trend__attr_"stderr"__chunk_len_10__f_agg_"min",0.0004872257909575687
right_knee_angle__fft_coefficient__attr_"imag"__coeff_40,0.00014744789475021818
left_hip_angle__change_quantiles__f_agg_"var"__isabs_True__qh_0.6__ql_0.0,6.151881446644622e-08
left_hip_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.0,0.0013244014909545318
left_hip_angle__mean_abs_change,0.0009507001257169483
left_hip_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_0.4__ql_0.0,0.000519850542398979
right_ankle_angle__fft_coefficient__attr_"imag"__coeff_59,0.00048408697666416236
left_hip_angle__quantile__q_0.1,0.02721198370802468
right_ankle_angle__fft_coefficient__attr_"imag"__coeff_34,0.00026759432569387553
left_knee_angle__change_quantiles__f_agg_"var"__isabs_False__qh_1.0__ql_0.6,6.968598724488524e-05
right_hip_angle__change_quantiles__f_agg_"var"__isabs_False__qh_0.2__ql_0.0,1.7402284358283784e-05
